Sales Volume
1678
2859
2914
702
2386
818
996
1608
2534
1736
743
2347
1237
2578
1014
1603
1563
2032
2170
2019
2328
786
1659
1466
1431
707
1773
2477
1942
994
2685
2968
1658
1552
2227
1796
1412
2016
2325
917
2836
2252
2124
1145
2774
2071
1915
1290
647
2606
2185
1245
2443
1622
1258
1466
1094
1165
2849
1525
2048
1140
966
2622
2084
1669
2491
2823
2220
2220
2478
2801
2187
2164
2901
1770
1733
2494
2535
1792
1633
1435
2852
1260
2973
1426
2575
923
2942
2749
2074
2878
622
1498
1513
892
1841
994
2045
1506
880
718
2202
1466
2063
2434
991
2356
1831
2728
2791
1002
2759
647
1017
606
2760
1474
1500
2591
1568
2135
1041
2240
2634
943
1145
2729
1105
2040
2931
1278
2421
1204
1778
730
2273
881
2732
1135
1916
729
1917
1978
2114
2339
1094
1838
903
1296
2887
1008
758
1717
2805
1590
529
2097
2168
2743
2222
1778
729
2572
2065
707
2277
1832
706
1685
2863
694
558
2179
2231
1796
1191
2985
654
2498
2734
2211
2193
1401
2839
1847
2849
624
1061
1553
1180
1506
2870
1712
1752
1012
1269
2265
1525
2835
1448
